Datetime,Tweet_id,Text,Username,Label
2022-06-30 23:52:54+00:00,1542657462561406976,@corbuzier Wah lumayan bisa di goreng mampu beli minyak yang mahal berarti hahaha,AgungDwiAntoro2,1
2022-06-30 21:30:52+00:00,1542621717981298688,"@geloraco Medianya bagus ya... Seakan2...perang di hentikan sementara dengan hadirnya Presiden RI.Hanya saja... Oligarki di Negara ini tidak bisa di hentikan dengan minyak goreng yg mahal,Pertalite yg susah,harga listrik naik, dan Bp tidak pernah Urus... Tapi Bp urus Negara lain. Hancur",Georgeb65650679,0
2022-06-30 21:18:15+00:00,1542618539839741952,"Di Indonesia Minyak Goreng Mahal, 
Inggris &amp; Eropa Malah Tuangkan 17 Ribu Ton Minyak Goreng untuk Bahan Bakar Kendaraan 

👉https://t.co/xMkUxJLlSk #hargameroketmendagkaget #MinyakUntukKita #MyPertamina #minyakGoreng #WaanjaiParty https://t.co/iAi5d6eJCL",konstituensi,0
2022-06-30 20:55:42+00:00,1542612867366547456,@jokowi @BiLLYKHAERUDIN Terus saya harus bilang wow gitu? Harga minyak goreng masih mahal pakde,BesiTinju,1
2022-06-30 19:38:02+00:00,1542593320089980928,"@Dennysiregar7 @jokowi Dodol......
Kalo sudah bener nggak mungkin naikin BBM...
Ngaak mungkin minyak goreng mahal....
Nggak mungkin naikin pajak....
Nggak mungkin impor pangan.....
Coba mikir dikit aja....
Mau jadi sekjen PBB.. ...
bahasa inggris aja masih belepotan......
Malu2in aja...",KerenIpenk,0
2022-06-30 18:46:20+00:00,1542580311598411777,"@corbuzier Minyak goreng lagi mahal &amp; harus pakai aplikasi peduli lindungi juga masih tetap menggoreng.harusnya rebus aja yaa kan, yaa dong",lempung_sawah,0
2022-06-30 16:50:36+00:00,1542551183667040257,@dinopattidjalal Kata Putin west muleh aja mas joko urus tuh warga mu yg menderita gara2 minyak goreng dan sembako serba mahal.. jgn urus bukan urusan mu kata akang Putin gak ada ngaruh nya kata kang Putin,najmiyusrin,0
2022-06-30 16:50:25+00:00,1542551138867630086,"@OldymenOldymen1 @jokowi Junjungan kau tu gak jelas, tutup ekspor cpo buat turun kan harga minyak goreng bukti nya apa minyak goreng tetap mahal",GanisEkaPutra3,0
2022-06-30 16:24:01+00:00,1542544494226468864,"@Dennysiregar7 @jokowi Urus tu minyak goreng ,harga minyak goreng masi mahal ,harga sawit nyekik petani.",Joko2boy,0
2022-06-30 16:05:08+00:00,1542539745007239168,"@HutajuluEtha @Priok71 @jokowi Gua udah jalanin bbrpa bisnis dan selalu aja kena sikut, monopolinya luar biasa, distributor gadged pernah disikat dengan peraturan imei, skrg apa? SES/TAM, erafone dan kawan2 yg kuasai pasar, katanya dukung umkm, TAI! Bisnis wifi jg udah kesikat.. mau jualan goreng minyak mahal.",ETN_SUPPORTER,0
2022-06-30 15:09:54+00:00,1542525845121552386,"tadi buat makan malam nyobain kwetiau goreng instan gitu, mayan juga (tapi mahal njir 5rb lebih)

tapi tadi telurnya gue scrambled duluan pake minyak baceman bawang putih, backup plan jaga2 kalo kwetiaunya anyep setidaknya telurnya enak wangi https://t.co/rwXPANvqwa",zwolftenaugust,0
2022-06-30 15:07:03+00:00,1542525128005029888,@corbuzier udah tau minyak mahal masih aja mengoreng.buat goreng cabe pula.,apaapaawokwok,0
2022-06-30 15:03:21+00:00,1542524194088308741,"@badgeniuz @corbuzier Ga bisa gorong gw bro,minyak goreng mahal wkwkw",PettaKumpe,0
2022-06-30 14:56:19+00:00,1542522426067943424,"@03__nakula Minyak goreng masih mahal...gk usah ngurusin negara lain, negara sendiri rakyat kesusahan begini...",Iyan_concept,0
2022-06-30 14:56:18+00:00,1542522419034079232,"@Ndheso_ @Arafat58905957 @GunawanLili1 Pak SBY didemo berjilid2 oleh orang2 nasi bungkus ngak bisa tumbang karena Rakyat Kenyang, minyak goreng tdk mahal, wabah diatasi dg baik, Rakyat yg bayar pemerintah &amp; demo dilindungi Undang2 cebong mesti drof out ngak sekolah, kalau ngak mau didemo balik solo wae 🤣🤣🤣",EdySupr44468624,0
2022-06-30 14:32:38+00:00,1542516466960191489,"Katanya Harga Sawit Anjlok, tapi Minyak Goreng Masih Mahal, Kok Bisa? https://t.co/uKPbj08AZf",HENDRIDEEN1,0
2022-06-30 14:02:04+00:00,1542508773876854786,"Di negri penghasil sawit terbesar, anehnya minyak goreng mahal.

#islamkaffah 
https://t.co/3SgQJbGg7b",Ape46057664,0
2022-06-30 13:35:42+00:00,1542502137808097281,@Valosenadya1 Ibu cantik coba kalau baca berita tabayun dulu ya..... Minyak goreng mahal loh bu sekarang.... Masak suka goreng2 sih.... Gemes aku tuh.....,firniko,0
2022-06-30 13:19:19+00:00,1542498014161702912,"Pak M. Said 
1. Indonesia punya berhektar hektar kebun sawit kenapa Minyak Goreng &amp; Pertalit langka &amp; mahal
2. Subsidi BBM terjadi sejak dulu

Apa solusinya untuk masalah ini ? Terimakasih.
Cek Ombak",1503Supardi,0
2022-06-30 13:03:56+00:00,1542494143716671488,"@_ekokuntadhi @jokowi Memeperjuangkan nasib ibu ibu dan harga minyak goreng dan bahan pokok yg kian mahal juga jihad, tapi beliau takan pernah mampu :)

Sok sok apa aplikasi pemilu aja masih kotak kardus.. Makin hari kebijakan rezim ini makin menyiksa masyarakat!",hasferi,1
2022-06-30 13:03:26+00:00,1542494017115623426,"Katanya Harga Sawit Anjlok,  tapi Minyak Goreng Masih Mahal, Kok Bisa? https://t.co/ucenS8PNk7",SaimonPence,0
2022-06-30 12:56:28+00:00,1542492262361624583,@ZUL_Hasan Kok Minyak doang Pak @ZUL_Hasan Memangnya Pak @ZUL_Hasan Menteri Perdagangan Khusus Minyak goreng ya 🙄? Masih banyak Lagi PR yg harus di Kerjakan Pak @ZUL_Hasan Harga Pakan Ternak yg masih mahal lalu Harga Cabe bawang tomat mahal juga dan Harga Pupuk Mahal,Yurissa_Samosir,0
2022-06-30 12:24:13+00:00,1542484148924731392,"Produsen minyak goreng sedunia tapi rakyatnya mau konsumsi aja dipersulit, harus pakai aplikasi peduli lindungi, mana mahal lagi.
Mungkinkah tepat sasaran? Simak yuk solusi islam di serba-serbi MMC bangga ber- #IslamKaffah   https://t.co/AQYZgI241m",Imah20100,0
2022-06-30 12:16:40+00:00,1542482248246898689,@Dodi_Y @budimandjatmiko @jokowi kemarin saat harga cpo tinggi dan mayoritas masyarakat beli minyak goreng dgn harga mahal. bagaimana?,warih_17,0
2022-06-30 12:15:31+00:00,1542481958810161152,"@convomf Simpen nder, buat goreng lagi. Lumayan, soalnya minyak mahal nder",rhyi1i,0
2022-06-30 11:25:22+00:00,1542469339076775937,@convomf Bisa buat goreng telur lagi itu nder simpen. Lumayan minyak lg mahal,mixxwel1,0
2022-06-30 11:07:21+00:00,1542464802533933056,"@detikcom Katanya harga minyak goreng mahal, petani sawit kok malah makin sengsoro nih",ykriswindo,0
2022-06-30 10:10:56+00:00,1542450607940050944,"iya minyak goreng dan cabe mhal,, jdi eceng gondog nya di kukus atau di rebus ya,, mateng glek langsung jan pake nasi klo gas mahal eceng gondog ny di jemur aje klo dah kering langsung geragot aja,,",roon3651,0
2022-06-30 09:33:14+00:00,1542441117336993792,"@FarmilaYanti @bumnbersatu @jokowi Hahaha...
Kl harganya mahal, nga perlu repot segala personil...😜😜😜
Masyarakat tunggu harga minyak goreng turun....🤦‍♂️🤦‍♂️🤦‍♂️
Saat ini harga sawit d tingkat petani anjlok, tp harga minyak goreng d tingkat konsumen mahal. Kl ginimah ujung2nya yg susah rakyat, pengusaha ma d subsidi",hendra0201,1
2022-06-30 08:16:43+00:00,1542421861157314560,"@NovemberRaintyx Nangka ini kak wkwkwk..
Rasa nya kek durian..
D goreng tepung jg enak sih..
Cuma minyak lg mahal wkwkwk",MeliaCoffee,0
2022-06-30 08:07:09+00:00,1542419456772608000,"@MuksonSimangun4 @RamliRizal Apanya kau cebong, ini gak warga negara, semua aja gk becus Pemerintah ini,minyak goreng saja tetap mahal,padahal cpo dunia sudah turun,pertanian mau dibikin ribet,kau orang kaya apa siluman, buzer sampah",DianPel61033878,0
2022-06-30 07:28:20+00:00,1542409686104014848,@bobby_risakotta @jokowi Lagu2an mau selesain Rusia Ukraina...minyak goreng no ..masih mahal,Okan_kesal,0
2022-06-30 07:25:13+00:00,1542408901651533824,"Minyak goreng masih mahal, ekspor sdh diijinkan, tapi harga buah  sawit segar murah. Pupuk mahal dan susah dicari. Trima kasih pemerintah.",Jamsonsi,0
2022-06-30 07:03:47+00:00,1542403508963786752,"Tahulah harga ayam dengan minyak mahal, takkan goreng luar je. Ingat aku sundel bolong ke? 😂 https://t.co/sLGrTBH1kB",iamajayrahman,0
2022-06-30 06:54:00+00:00,1542401044717572098,@VIVAcoid Mending urus bangsa sendiri...dinegara sendiri urusan makin kacao Balo... minyak goreng mahal cabe mahal dan masih banyak lagi... Kenapa ngurus negara orang,Wira71897332,0
2022-06-30 06:16:24+00:00,1542391582258655233,"@detikcom Kenapa Harga Minyak Goreng tetap mahal meski harga sawit rendah @ZUL_Hasan ? 
Sampai Luhut @kemenkomarves saja tidak mampu turunkan harga.

Apa perlu Anies Baswedan jadi ketua @KPPU untuk berantas KARTEL seperti berantas Holywing ?",wongpinter2019,0
2022-06-30 05:24:43+00:00,1542378575890124800,"@Dennysiregar7 @jokowi Legacy nya apa ? Hutang lebih 7000 T, Minyak Goreng langka &amp; mahal....produksi mobil gaib Esemka..., Politik Dinasti....apalagi..😁😁",agunmukedas,0
2022-06-30 04:37:51+00:00,1542366784652574720,"Gak usah iri, minyak goreng dan bensin di Amrik lebih mahal lho daripada di sini",HelmiAlHazziq,0
2022-06-30 04:31:09+00:00,1542365097649389568,@detikcom Tapi koq tetep mahal di pasar harga minyak goreng,indraya97198857,0
2022-06-30 04:26:19+00:00,1542363881057976321,@detikcom Ya terus knp harga minyak goreng masih tetep mahal....logikanya jika bahan bakunya berharga murah bgt.. berefek langsung pafa bahan jadinya... ini kok enggak.. ada dimana yang tak simetrisnya,TheFeds24,0
2022-06-30 03:34:08+00:00,1542350748218183680,"@AryaNovrianus Sengaja pake air, soalnya minyak goreng lg mahal",_avnt_,0
2022-06-30 03:32:09+00:00,1542350247963525120,"Zulhas: Saya Sudah Tahu Kenapa Minyak Goreng Mahal, Sebulan Lagi Beres
https://t.co/SxuGm0L88B
Stay Safe Jokowi",Ins_T4nce,1
2022-06-30 02:52:58+00:00,1542340386378551296,"Zulhas: Saya Sudah Tahu Kenapa Minyak Goreng Mahal, Sebulan Lagi Beres
https://t.co/e0vaKfWU9o
Stay Safe Jokowi",sartini_ratna,1
2022-06-30 02:48:27+00:00,1542339250485866498,"Ketika minyak goreng langka &amp; mahal , emak2 sudah dibuat kesulitan untuk mendapatkan minyak goreng yg murah , sampai harus antri berjam2 . Sekarang ketika minyak goreng tersedia dgn harga terjangkau , belinya harus pakai aplikasi atau NIK , ribet &amp; ruwet . #CopotMenteriDongok",68Supriyono,0
2022-06-30 02:38:29+00:00,1542336741713268737,@Agistasyahka Iya ya di Korea itu banyak juga gorengan. Minyak goreng mahal gak ya di sana?,Naqiyyah_Syam,0
2022-06-30 02:23:35+00:00,1542332994379468800,@bumnbersatu @jokowi Minyak goreng. Bbm.mahal ulama di penjarakan islamphobia menuduh orang muslim radikal kacau lu,Adril04409411,0
